    //NAME(,AtomicNumber,element,symbol,mass,neutrons,protons,electrons,period,group,phase,radioactive,natural,metal,nonmetal,metalloid,metalGroup,radius,electronegativity,firstIonization,density,meltingPoint,boilingPoint,isotopes,discoverer,Year.of(Year),specificHeat,shells,valence,),,,,,,,,,,,,,,,,,,,,,,
    CA(,20,Calcium,Ca,40.078F,20,20,20,4,2,solid,false,true,true,false,false,Alkaline Earth Metal,2.2F,1F,6.1132F,1.54F,1112.15F,1757,14,Davy,Year.of(1808),0.647,4,2,),,,,,,,,,,,,,,,,,,,,,,
    SC(,21,Scandium,Sc,44.956F,24,21,21,4,3,solid,false,true,true,false,false,Transition Metal,2.1F,1.36F,6.5615F,2.99F,1812.15F,3109,15,Nilson,Year.of(1878),0.568,4,-1,),,,,,,,,,,,,,,,,,,,,,,
    TI(,22,Titanium,Ti,47.867F,26,22,22,4,4,solid,false,true,true,false,false,Transition Metal,2F,1.54F,6.8281F,4.54F,1933.15F,3560,9,Gregor,Year.of(1791),0.523,4,-1,),,,,,,,,,,,,,,,,,,,,,,
    V(,23,Vanadium,V,50.942F,28,23,23,4,5,solid,false,true,true,false,false,Transition Metal,1.9F,1.63F,6.7462F,6.11F,2175.15F,3680,9,   del Rio,Year.of(1801),0.489,4,-1,),,,,,,,,,,,,,,,,,,,,,,
    CR(,24,Chromium,Cr,51.996F,28,24,24,4,6,solid,false,true,true,false,false,Transition Metal,1.9F,1.66F,6.7665F,7.15F,2130.15F,2944,9,Vauquelin,Year.of(1797),0.449,4,-1,),,,,,,,,,,,,,,,,,,,,,,
    MN(,25,Manganese,Mn,54.938F,30,25,25,4,7,solid,false,true,true,false,false,Transition Metal,1.8F,1.55F,7.434F,7.44F,1519.15F,2334,11,"""Gahn, Scheele"",Year.of(1774),0.479,4,-1,)
    FE(,26,""Iron",Fe,55.845F,30,26,26,4,8,solid,false,true,true,false,false,Transition Metal,1.7F,1.83F,7.9024F,7.87F,1808.15F,3134,10,Prehistoric,Year.of(-1),0.449,4,-1,)
    CO(,27,Cobalt,Co,58.933F,32,27,27,4,9,solid,false,true,true,false,false,Transition Metal,1.7F,1.88F,7.881F,8.86F,1768.15F,3200,14,Brandt,Year.of(1735),0.421,4,-1,),,,,,,,,,,,,,,,,,,,,,,
    NI(,28,Nickel,Ni,58.693F,31,28,28,4,10,solid,false,true,true,false,false,Transition Metal,1.6F,1.91F,7.6398F,8.91F,1726.15F,3186,11,Cronstedt,Year.of(1751),0.444,4,-1,),,,,,,,,,,,,,,,,,,,,,,
    CU(,29,Copper,Cu,63.546F,35,29,29,4,11,solid,false,true,true,false,false,Transition Metal,1.6F,1.9F,7.7264F,8.96F,1357.75F,2835,11,Prehistoric,Year.of(-1),0.385,4,-1,),,,,,,,,,,,,,,,,,,,,,,
    ZN(,30,Zinc,Zn,65.38F,35,30,30,4,12,solid,false,true,true,false,false,Transition Metal,1.5F,1.65F,9.3942F,7.13F,692.88F,1180,15,Prehistoric,Year.of(-1),0.388,4,-1,),,,,,,,,,,,,,,,,,,,,,,
