    //NAME(,AtomicNumber,element,symbol,mass,neutrons,protons,electrons,period,group,phase,radioactive,natural,metal,nonmetal,metalloid,metalGroup,radius,electronegativity,firstIonization,density,meltingPoint,boilingPoint,isotopes,discoverer,Year.of(Year),specificHeat,shells,valence,),,,,,,,,,,,,,,,,,,,,,,
    RF(,104,Rutherfordium,Rf,261F,157,104,104,7,4,artificial,true,false,true,false,false,Transactinide,-1F,-1F,-1F,18.1F,-1F,-1,,Ghiorso et al.,Year.of(1969),-1,7,-1,),,,,,,,,,,,,,,,,,,,,,,
    DB(,105,Dubnium,Db,262F,157,105,105,7,5,artificial,true,false,true,false,false,Transactinide,-1F,-1F,-1F,39F,-1F,-1,,Ghiorso et al.,Year.of(1970),-1,7,-1,),,,,,,,,,,,,,,,,,,,,,,
    SG(,106,Seaborgium,Sg,266F,160,106,106,7,6,artificial,true,false,true,false,false,Transactinide,-1F,-1F,-1F,35F,-1F,-1,,Ghiorso et al.,Year.of(1974),-1,7,-1,),,,,,,,,,,,,,,,,,,,,,,
    BH(,107,Bohrium,Bh,264F,157,107,107,7,7,artificial,true,false,true,false,false,Transactinide,-1F,-1F,-1F,37F,-1F,-1,,Armbruster and M�nzenberg\*todo*\,Year.of(1981),-1,7,-1,),,,,,,,,,,,,,,,,,,,,,,
    HS(,108,Hassium,Hs,267F,159,108,108,7,8,artificial,true,false,true,false,false,Transactinide,-1F,-1F,-1F,41F,-1F,-1,,Armbruster and M�nzenberg\*todo*\,Year.of(1983),-1,7,-1,),,,,,,,,,,,,,,,,,,,,,,
    MT(,109,Meitnerium,Mt,268F,159,109,109,7,9,artificial,true,false,true,false,false,Transactinide,-1F,-1F,-1F,35F,-1F,-1,,"""GSI, Darmstadt, West Germany"",Year.of(1982),-1,7,-1,)
    DS (,110,""Darmstadtium ",Ds ,271F,161,110,110,7,10,artificial,true,false,true,false,false,Transactinide,-1F,-1F,-1F,-1F,-1F,-1,,null,Year.of(1994),-1,7,-1,)
    RG (,111,Roentgenium ,Rg ,272F,161,111,111,7,11,artificial,true,false,true,false,false,Transactinide,-1F,-1F,-1F,-1F,-1F,-1,,null,Year.of(1994),-1,7,-1,),,,,,,,,,,,,,,,,,,,,,,
    CN (,112,Copernicium ,Cn ,285F,173,112,112,7,12,artificial,true,false,true,false,false,Transactinide,-1F,-1F,-1F,-1F,-1F,-1,,null,Year.of(1996),-1,7,-1,),,,,,,,,,,,,,,,,,,,,,,
    NH(,113,Nihonium,Nh,284F,171,113,113,7,13,artificial,true,false,true,false,false,null,-1F,-1F,-1F,-1F,-1F,-1,,null,Year.of(2004),-1,7,3,),,,,,,,,,,,,,,,,,,,,,,
    FL(,114,Flerovium,Fl,289F,175,114,114,7,14,artificial,true,false,true,false,false,Transactinide,-1F,-1F,-1F,-1F,-1F,-1,,null,Year.of(1999),-1,7,4,),,,,,,,,,,,,,,,,,,,,,,
    MC(,115,Moscovium,Mc,288F,173,115,115,7,15,artificial,true,false,true,false,false,null,-1F,-1F,-1F,-1F,-1F,-1,,null,Year.of(2010),-1,7,5,),,,,,,,,,,,,,,,,,,,,,,
    LV(,116,Livermorium,Lv,292F,176,116,116,7,16,artificial,true,false,true,false,false,Transactinide,-1F,-1F,-1F,-1F,-1F,-1,,null,Year.of(2000),-1,7,6,),,,,,,,,,,,,,,,,,,,,,,
    TS(,117,Tennessine,Ts,295F,178,117,117,7,17,artificial,true,false,false,true,false,null,-1F,-1F,-1F,-1F,-1F,-1,,null,Year.of(2010),-1,7,7,),,,,,,,,,,,,,,,,,,,,,,
    OG(,118,Oganesson,Og,294F,176,118,118,7,18,artificial,true,false,false,true,false,Noble Gas,-1F,-1F,-1F,-1F,-1F,-1,,null,Year.of(2006),-1,7,8),,,,,,,,,,,,,,,,,,,,,,,
